Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760375832833,,,,,,,,,,mojaloop-redis-leader-1 killed
1760375835000,10,undefined,8.89520346524,1.5587885985748218,undefined,undefined,undefined,undefined,undefined,
1760375840000,10,undefined,8.89520346524,1.3508215962441317,undefined,undefined,undefined,undefined,undefined,
1760375845000,10,undefined,8.894289933339998,1.8313154949638826,undefined,undefined,undefined,undefined,undefined,
1760375850000,10,undefined,8.893650461010001,1.0372974420784786,undefined,undefined,undefined,undefined,undefined,
1760375855000,10,undefined,8.8928282823,1.5612802498048397,undefined,undefined,undefined,undefined,undefined,
1760375860000,10,undefined,8.89237151635,1.387512388503469,undefined,undefined,undefined,undefined,undefined,
1760375865000,10,undefined,8.89164069083,1.4570724052902935,undefined,undefined,undefined,undefined,undefined,
1760375870000,10,undefined,8.890818512120001,1.7919257931906818,undefined,undefined,undefined,undefined,undefined,
1760375875000,10,undefined,8.8900876866,1.5971439308530628,undefined,undefined,undefined,undefined,undefined,
1760375880000,10,undefined,8.88880874194,1.6207455429497566,undefined,undefined,undefined,undefined,undefined,
1760375885000,10,undefined,8.88880874194,1.3056283824413708,undefined,undefined,undefined,undefined,undefined,
1760375890000,10,undefined,8.88816926961,1.3977635782747604,undefined,undefined,undefined,undefined,undefined,
1760375895000,10,undefined,8.89607447078,1.2700066210549548,undefined,undefined,undefined,undefined,undefined,
1760375900000,10,undefined,8.89566080396,1.762571280456195,undefined,undefined,undefined,undefined,undefined,
1760375905000,10,undefined,8.89492940567,1.705999431333523,undefined,undefined,undefined,undefined,undefined,
1760375910000,10,undefined,8.89419858015,1.6735577869659384,undefined,undefined,undefined,undefined,undefined,
1760375915000,10,undefined,8.89355910782,1.621796951021732,undefined,undefined,undefined,undefined,undefined,
1760375920000,10,undefined,8.8928282823,1.4850014850014848,undefined,undefined,undefined,undefined,undefined,
1760375925000,10,undefined,8.892006103589997,1.5596330275229355,undefined,undefined,undefined,undefined,undefined,
1760375930000,10,undefined,8.89136663126,1.6734651187114318,undefined,undefined,undefined,undefined,undefined,
1760375935000,10,undefined,8.890635805739999,1.5611990008326395,undefined,undefined,undefined,undefined,undefined,
1760375940000,10,undefined,8.889904980219999,1.4918414918414917,undefined,undefined,undefined,undefined,undefined,
1760375945000,10,undefined,8.889265507889998,1.4854426619132501,undefined,undefined,undefined,undefined,undefined,
1760375950000,10,undefined,8.888626035559998,1.34827532507981,undefined,undefined,undefined,undefined,undefined,
1760375955000,10,undefined,8.887712503660001,1.7644006227296318,undefined,undefined,undefined,undefined,undefined,
1760375960000,10,undefined,8.887073031329999,1.4891380518570425,undefined,undefined,undefined,undefined,undefined,
1760375965000,10,undefined,8.88640814663,1.4624159110851127,undefined,undefined,undefined,undefined,undefined,
1760375970000,10,undefined,8.886179435299999,1.698641087130296,undefined,undefined,undefined,undefined,undefined,
1760375975000,10,undefined,8.88595072397,1.7352742697387447,undefined,undefined,undefined,undefined,undefined,
1760375980000,10,undefined,8.88577283738,1.622882645298712,undefined,undefined,undefined,undefined,undefined,
1760375985000,10,undefined,8.885594950789999,1.5576323987538943,undefined,undefined,undefined,undefined,undefined,
1760375990000,10,undefined,8.88536623946,1.5880893300248138,undefined,undefined,undefined,undefined,undefined,
1760375995000,10,undefined,8.885162940499999,1.7230893979322928,undefined,undefined,undefined,undefined,undefined,
1760376000000,10,undefined,8.88495964154,1.6947357271475478,undefined,undefined,undefined,undefined,undefined,
